bin	chr	sta1	end1	len1
1926	1	162719572.5	162737397	17824.5
1927	1	162737397	163025127	287730
1928	1	163025127	163091880.5	66753.5
1929	1	163091880.5	163110950	19069.5
1930	1	163110950	163140854.5	29904.5
1931	1	163140854.5	163141229	374.5
1932	1	163141229	163141621.5	392.5
1933	1	163141621.5	163144728.5	3107
1934	1	163144728.5	163174605.5	29877
1935	1	163174605.5	163175067	461.5
1936	1	163175067	163372455.5	197388.5
1937	1	163372455.5	163443264	70808.5
1938	1	163443264	163452868.5	9604.5
1939	1	163452868.5	163455364	2495.5
1940	1	163455364	163491013.5	35649.5
1941	1	163491013.5	163491183.5	170
1942	1	163491183.5	163545766	54582.5
1943	1	163545766	163546205.5	439.5
1944	1	163546205.5	163546215.5	10
1945	1	163546215.5	163746486.5	200271
1946	1	163746486.5	163802747.5	56261
1947	1	163802747.5	164212051.5	409304
1948	1	164212051.5	164226450.5	14399
1949	1	164226450.5	164367243.5	140793
1950	1	164367243.5	164656699	289455.5
1951	1	164656699	164684397.5	27698.5
1952	1	164684397.5	164735765	51367.5
1953	1	164735765	164919417.5	183652.5
1954	1	164919417.5	165428967	509549.5
1955	1	165428967	165429286	319
1956	1	165429286	165431984.5	2698.5
1957	1	165431984.5	166010662.5	578678
1958	1	166010662.5	166424502.5	413840
1959	1	166424502.5	166493637.5	69135
1960	1	166493637.5	166493675.5	38
1961	1	166493675.5	166679933	186257.5
1962	1	166679933	166681690	1757
1963	1	166681690	166698778.5	17088.5
1964	1	166698778.5	166728030.5	29252
1965	1	166728030.5	166735238.5	7208
1966	1	166735238.5	166735338.5	100
1967	1	166735338.5	166735394.5	56
1968	1	166735394.5	166739550.5	4156
1969	1	166739550.5	166739573.5	23
1970	1	166739573.5	166739700.5	127
1971	1	166739700.5	166743163	3462.5
1972	1	166743163	166787005.5	43842.5
1973	1	166787005.5	166980086	193080.5
1974	1	166980086	167020847.5	40761.5
1975	1	167020847.5	167498610.5	477763
1976	1	167498610.5	167785605.5	286995
1977	1	167785605.5	167864373.5	78768
1978	1	167864373.5	167886960	22586.5
1979	1	167886960	168278220.5	391260.5
1980	1	168278220.5	168551097.5	272877
1981	1	168551097.5	168620802	69704.5
1982	1	168620802	168623308	2506
1983	1	168623308	168665520	42212
1984	1	168665520	168709209.5	43689.5
1985	1	168709209.5	170029002.5	1319793
1986	1	170029002.5	170117268	88265.5
1987	1	170117268	170209515	92247
1988	1	170209515	170227638.5	18123.5
1989	1	170227638.5	170228693	1054.5
1990	1	170228693	170442113	213420
1991	1	170442113	170601700.5	159587.5
1992	1	170601700.5	170691462.5	89762
1993	1	170691462.5	170863506	172043.5
1994	1	170863506	170872546.5	9040.5
1995	1	170872546.5	171206916	334369.5
1996	1	171206916	171455803.5	248887.5
1997	1	171455803.5	171507588	51784.5
1998	1	171507588	171546830	39242
1999	1	171546830	171570488	23658
2000	1	171570488	171570545.5	57.5
2001	1	171570545.5	171588245	17699.5
2002	1	171588245	171605126.5	16881.5
2003	1	171605126.5	171785341	180214.5
2004	1	171785341	171786116.5	775.5
2005	1	171786116.5	171787986	1869.5
2006	1	171787986	171790816.5	2830.5
2007	1	171790816.5	171793762.5	2946
2008	1	171793762.5	171793815.5	53
2009	1	171793815.5	171798405.5	4590
2010	1	171798405.5	172037807.5	239402
2011	1	172037807.5	172145614	107806.5
2012	1	172145614	172819548	673934
2013	1	172819548	172831776.5	12228.5
2014	1	172831776.5	172834281.5	2505
2015	1	172834281.5	172909312	75030.5
2016	1	172909312	173241433.5	332121.5
2017	1	173241433.5	173241481.5	48
2018	1	173241481.5	173241853	371.5
2019	1	173241853	173290545.5	48692.5
2020	1	173290545.5	173389191	98645.5
2021	1	173389191	173674630.5	285439.5
2022	1	173674630.5	173682685.5	8055
2023	1	173682685.5	173826431.5	143746
2024	1	173826431.5	173827592	1160.5
2025	1	173827592	173866796	39204
2026	1	173866796	173873490	6694
2027	1	173873490	173876266.5	2776.5
2028	1	173876266.5	173971056.5	94790
2029	1	173971056.5	174022268.5	51212
2030	1	174022268.5	174241326.5	219058
2031	1	174241326.5	174241628.5	302
2032	1	174241628.5	174334837	93208.5
2033	1	174334837	174402523	67686
2034	1	174402523	174402921	398
2035	1	174402921	174403566.5	645.5
2036	1	174403566.5	174405575.5	2009
2037	1	174405575.5	174563572	157996.5
2038	1	174563572	174664772	101200
2039	1	174664772	174682306.5	17534.5
2040	1	174682306.5	174697157	14850.5
2041	1	174697157	174698450	1293
2042	1	174698450	175331833	633383
2043	1	175331833	175331860.5	27.5
2044	1	175331860.5	175463568.5	131708
2045	1	175463568.5	175636170	172601.5
2046	1	175636170	175920946	284776
2047	1	175920946	175923259	2313
2048	1	175923259	176018852	95593
2049	1	176018852	176050024.5	31172.5
2050	1	176050024.5	176052345	2320.5
2051	1	176052345	176077410	25065
2052	1	176077410	176077472.5	62.5
2053	1	176077472.5	176077859.5	387
2054	1	176077859.5	176078260	400.5
2055	1	176078260	176108916	30656
2056	1	176108916	176108920.5	4.5
2057	1	176108920.5	176109037.5	117
2058	1	176109037.5	176109060	22.5
2059	1	176109060	176109079	19
2060	1	176109079	176109087.5	8.5
2061	1	176109087.5	176109090	2.5
2062	1	176109090	176109122	32
2063	1	176109122	176109126	4
2064	1	176109126	176109177	51
2065	1	176109177	176109189.5	12.5
2066	1	176109189.5	176109204.5	15
2067	1	176109204.5	176109366.5	162
2068	1	176109366.5	176111940.5	2574
2069	1	176111940.5	176117827	5886.5
2070	1	176117827	176122290.5	4463.5
2071	1	176122290.5	176369286	246995.5
2072	1	176369286	176543005	173719
2073	1	176543005	176543022	17
2074	1	176543022	176543196.5	174.5
2075	1	176543196.5	176543488	291.5
2076	1	176543488	176544291.5	803.5
2077	1	176544291.5	176545972	1680.5
2078	1	176545972	176545981	9
2079	1	176545981	176546021	40
2080	1	176546021	176703353.5	157332.5
2081	1	176703353.5	176826265.5	122912
2082	1	176826265.5	176826292.5	27
2083	1	176826292.5	176964311.5	138019
2084	1	176964311.5	177052352.5	88041
2085	1	177052352.5	177052388	35.5
2086	1	177052388	177146186	93798
2087	1	177146186	177217896	71710
2088	1	177217896	177358009.5	140113.5
2089	1	177358009.5	177358045	35.5
2090	1	177358045	177369863	11818
2091	1	177369863	177373448	3585
2092	1	177373448	177449901.5	76453.5
2093	1	177449901.5	177455813	5911.5
2094	1	177455813	177532133.5	76320.5
2095	1	177532133.5	177533604	1470.5
2096	1	177533604	177577040	43436
2097	1	177577040	177577084.5	44.5
2098	1	177577084.5	177593821.5	16737
2099	1	177593821.5	177594342	520.5
2100	1	177594342	177595039	697
2101	1	177595039	177597363	2324
2102	1	177597363	177974293	376930
2103	1	177974293	178449712	475419
2104	1	178449712	178449755	43
2105	1	178449755	178656882	207127
2106	1	178656882	178663496.5	6614.5
2107	1	178663496.5	178664494.5	998
2108	1	178664494.5	178673265.5	8771
2109	1	178673265.5	178719268	46002.5
2110	1	178719268	178977588	258320
2111	1	178977588	179011783.5	34195.5
2112	1	179011783.5	179157266	145482.5
2113	1	179157266	179185216.5	27950.5
2114	1	179185216.5	179495463.5	310247
2115	1	179495463.5	179806629	311165.5
2116	1	179806629	179991682	185053
2117	1	179991682	180065776.5	74094.5
2118	1	180065776.5	180139796.5	74020
2119	1	180139796.5	180197791	57994.5
2120	1	180197791	180198078	287
2121	1	180198078	180198117.5	39.5
2122	1	180198117.5	180361605.5	163488
2123	1	180361605.5	180396710.5	35105
2124	1	180396710.5	180430709	33998.5
2125	1	180430709	180553246	122537
2126	1	180553246	180847780.5	294534.5
2127	1	180847780.5	180862745.5	14965
2128	1	180862745.5	180863158	412.5
2129	1	180863158	180863593	435
2130	1	180863593	180895982	32389
2131	1	180895982	181239041	343059
2132	1	181239041	181649755.5	410714.5
2133	1	181649755.5	181668721	18965.5
2134	1	181668721	181669404	683
2135	1	181669404	181669613.5	209.5
2136	1	181669613.5	181689047.5	19434
2137	1	181689047.5	181708462.5	19415
2138	1	181708462.5	181877071.5	168609
2139	1	181877071.5	181877341.5	270
2140	1	181877341.5	181879704	2362.5
2141	1	181879704	181881191	1487
2142	1	181881191	181886853.5	5662.5
2143	1	181886853.5	181894962	8108.5
2144	1	181894962	181895013.5	51.5
2145	1	181895013.5	181895024.5	11
2146	1	181895024.5	182273375	378350.5
2147	1	182273375	182312272	38897
2148	1	182312272	182384180	71908
2149	1	182384180	182446990.5	62810.5
2150	1	182446990.5	182447054.5	64
2151	1	182447054.5	182447444.5	390
2152	1	182447444.5	182448911	1466.5
2153	1	182448911	182720962	272051
2154	1	182720962	182901469.5	180507.5
2155	1	182901469.5	182930088	28618.5
2156	1	182930088	182932845.5	2757.5
2157	1	182932845.5	182932852	6.5
2158	1	182932852	183060349.5	127497.5
2159	1	183060349.5	183060366	16.5
2160	1	183060366	183101252	40886
2161	1	183101252	183178247.5	76995.5
2162	1	183178247.5	183201032	22784.5
2163	1	183201032	183340917	139885
2164	1	183340917	183387231	46314
2165	1	183387231	183459292.5	72061.5
2166	1	183459292.5	183478894.5	19602
2167	1	183478894.5	183492539	13644.5
2168	1	183492539	183665499.5	172960.5
2169	1	183665499.5	183711237	45737.5
2170	1	183711237	183793902.5	82665.5
2171	1	183793902.5	183805070	11167.5
2172	1	183805070	183836756.5	31686.5
2173	1	183836756.5	183843831.5	7075
2174	1	183843831.5	183847933	4101.5
2175	1	183847933	183874284	26351
2176	1	183874284	183877562.5	3278.5
2177	1	183877562.5	183965245.5	87683
2178	1	183965245.5	184018883	53637.5
2179	1	184018883	184018913	30
2180	1	184018913	184018923	10
2181	1	184018923	184021142.5	2219.5
2182	1	184021142.5	184021176	33.5
2183	1	184021176	184027060	5884
2184	1	184027060	184032878.5	5818.5
2185	1	184032878.5	184212108.5	179230
2186	1	184212108.5	184603792.5	391684
2187	1	184603792.5	184603902.5	110
2188	1	184603902.5	184645566.5	41664
2189	1	184645566.5	184888681.5	243115
2190	1	184888681.5	187206453.5	2317772
2191	1	187206453.5	187215607.5	9154
2192	1	187215607.5	187220880	5272.5
2193	1	187220880	187220985.5	105.5
2194	1	187220985.5	187221075	89.5
2195	1	187221075	187221870	795
2196	1	187221870	187221971.5	101.5
2197	1	187221971.5	187236718	14746.5
2198	1	187236718	187240135.5	3417.5
2199	1	187240135.5	187338853	98717.5
2200	1	187338853	187569409	230556
2201	1	187569409	187677813	108404
2202	1	187677813	187849256.5	171443.5
2203	1	187849256.5	188069139	219882.5
2204	1	188069139	188161249.5	92110.5
2205	1	188161249.5	188292820.5	131571
2206	1	188292820.5	188645943.5	353123
2207	1	188645943.5	188647359	1415.5
2208	1	188647359	188680325	32966
2209	1	188680325	188689064	8739
2210	1	188689064	188910896	221832
2211	1	188910896	188911653.5	757.5
2212	1	188911653.5	189021103.5	109450
2213	1	189021103.5	189021336	232.5
2214	1	189021336	189021376.5	40.5
2215	1	189021376.5	189053323	31946.5
2216	1	189053323	189146518.5	93195.5
2217	1	189146518.5	189390612.5	244094
2218	1	189390612.5	189394641	4028.5
2219	1	189394641	189394937.5	296.5
2220	1	189394937.5	189421236.5	26299
2221	1	189421236.5	189647485	226248.5
2222	1	189647485	189675408.5	27923.5
2223	1	189675408.5	189823564	148155.5
2224	1	189823564	189823636.5	72.5
2225	1	189823636.5	189826273.5	2637
2226	1	189826273.5	189826335	61.5
2227	1	189826335	189826456	121
2228	1	189826456	190292121.5	465665.5
2229	1	190292121.5	190524346.5	232225
2230	1	190524346.5	190553519.5	29173
2231	1	190553519.5	190587167.5	33648
2232	1	190587167.5	190731795.5	144628
2233	1	190731795.5	190779517	47721.5
2234	1	190779517	190914164.5	134647.5
2235	1	190914164.5	191080830.5	166666
2236	1	191080830.5	191125539.5	44709
2237	1	191125539.5	191513039.5	387500
2238	1	191513039.5	191544134.5	31095
2239	1	191544134.5	191544342.5	208
2240	1	191544342.5	191548288	3945.5
2241	1	191548288	191554922	6634
2242	1	191554922	191723135.5	168213.5
2243	1	191723135.5	191956434.5	233299
2244	1	191956434.5	192022947.5	66513
2245	1	192022947.5	192163573	140625.5
2246	1	192163573	192188713.5	25140.5
2247	1	192188713.5	192313519	124805.5
2248	1	192313519	192433980.5	120461.5
2249	1	192433980.5	193201994.5	768014
2250	1	193201994.5	193285063	83068.5
2251	1	193285063	193317975.5	32912.5
2252	1	193317975.5	193350868	32892.5
2253	1	193350868	193352032	1164
2254	1	193352032	193900046	548014
2255	1	193900046	193900286	240
2256	1	193900286	193904881.5	4595.5
2257	1	193904881.5	194039244	134362.5
2258	1	194039244	194242063.5	202819.5
2259	1	194242063.5	194247494.5	5431
2260	1	194247494.5	194248492.5	998
2261	1	194248492.5	194248742	249.5
2262	1	194248742	194439825.5	191083.5
2263	1	194439825.5	194442433.5	2608
2264	1	194442433.5	194444736.5	2303
2265	1	194444736.5	194447868.5	3132
2266	1	194447868.5	194448115	246.5
2267	1	194448115	194469738	21623
2268	1	194469738	194474747.5	5009.5
2269	1	194474747.5	194477064.5	2317
2270	1	194477064.5	194477369.5	305
2271	1	194477369.5	194489427.5	12058
2272	1	194489427.5	194539182	49754.5
2273	1	194539182	194695256.5	156074.5
2274	1	194695256.5	194746173.5	50917
2275	1	194746173.5	194912425	166251.5
2276	1	194912425	195027831.5	115406.5
2277	1	195027831.5	195066253	38421.5
2278	1	195066253	195222944.5	156691.5
2279	1	195222944.5	195436096	213151.5
2280	1	195436096	195436330	234
2281	1	195436330	195630356.5	194026.5
2282	1	195630356.5	195796836.5	166480
2283	1	195796836.5	195800315	3478.5
2284	1	195800315	195800425	110
2285	1	195800425	195805652	5227
2286	1	195805652	195944673	139021
2287	1	195944673	196162592.5	217919.5
2288	1	196162592.5	196162679	86.5
2289	1	196162679	196163038.5	359.5
2290	1	196163038.5	196163093	54.5
2291	1	196163093	196163150.5	57.5
2292	1	196163150.5	196163253.5	103
2293	1	196163253.5	196163462.5	209
2294	1	196163462.5	196239128	75665.5
2295	1	196239128	196239163.5	35.5
2296	1	196239163.5	196278711	39547.5
2297	1	196278711	196284399.5	5688.5
2298	1	196284399.5	196285658	1258.5
2299	1	196285658	196286897.5	1239.5
2300	1	196286897.5	196402432	115534.5
2301	1	196402432	196405265.5	2833.5
2302	1	196405265.5	196436786	31520.5
2303	1	196436786	196639163.5	202377.5
2304	1	196639163.5	196673986	34822.5
2305	1	196673986	196702007.5	28021.5
2306	1	196702007.5	196706235.5	4228
2307	1	196706235.5	196792335.5	86100
2308	1	196792335.5	196812583	20247.5
2309	1	196812583	197011451	198868
2310	1	197011451	197081463.5	70012.5
2311	1	197081463.5	197106882.5	25419
2312	1	197106882.5	197111565.5	4683
2313	1	197111565.5	197114912.5	3347
2314	1	197114912.5	197114926	13.5
2315	1	197114926	197411238.5	296312.5
2316	1	197411238.5	197411322	83.5
2317	1	197411322	197449350	38028
2318	1	197449350	197449980.5	630.5
2319	1	197449980.5	197455596	5615.5
2320	1	197455596	197500269	44673
2321	1	197500269	197638576.5	138307.5
2322	1	197638576.5	197807554.5	168978
2323	1	197807554.5	197869292	61737.5
2324	1	197869292	198002042	132750
2325	1	198002042	198273900.5	271858.5
2326	1	198273900.5	198397781	123880.5
2327	1	198397781	198428199	30418
2328	1	198428199	198442963.5	14764.5
2329	1	198442963.5	198510020	67056.5
2330	1	198510020	198510064.5	44.5
2331	1	198510064.5	198513814	3749.5
2332	1	198513814	198686413	172599
2333	1	198686413	198687041.5	628.5
2334	1	198687041.5	198946453.5	259412
2335	1	198946453.5	199168818	222364.5
2336	1	199168818	199194898.5	26080.5
2337	1	199194898.5	199220817.5	25919
2338	1	199220817.5	199587172.5	366355
2339	1	199587172.5	199655915.5	68743
2340	1	199655915.5	199713866	57950.5
2341	1	199713866	199768592	54726
2342	1	199768592	199768694	102
2343	1	199768694	199768741.5	47.5
2344	1	199768741.5	199768848.5	107
2345	1	199768848.5	199891217	122368.5
2346	1	199891217	199919602	28385
2347	1	199919602	199933712.5	14110.5
2348	1	199933712.5	199971610.5	37898
2349	1	199971610.5	200029652	58041.5
2350	1	200029652	200029751.5	99.5
2351	1	200029751.5	200029856	104.5
2352	1	200029856	200029981.5	125.5
2353	1	200029981.5	200436311	406329.5
2354	1	200436311	200436400	89
2355	1	200436400	200437013	613
2356	1	200437013	200479164.5	42151.5
2357	1	200479164.5	200505386.5	26222
2358	1	200505386.5	200781811.5	276425
2359	1	200781811.5	201016387.5	234576
2360	1	201016387.5	201016469	81.5
2361	1	201016469	201201897	185428
2362	1	201201897	201231307	29410
2363	1	201231307	201234172	2865
2364	1	201234172	201396238.5	162066.5
2365	1	201396238.5	201396253.5	15
2366	1	201396253.5	201399254	3000.5
2367	1	201399254	201401987.5	2733.5
2368	1	201401987.5	201402602	614.5
2369	1	201402602	201403121.5	519.5
2370	1	201403121.5	201504575.5	101454
2371	1	201504575.5	201509027	4451.5
2372	1	201509027	201522759	13732
2373	1	201522759	201523260	501
2374	1	201523260	201664896.5	141636.5
2375	1	201664896.5	201666851.5	1955
2376	1	201666851.5	201776623.5	109772
2377	1	201776623.5	201989717.5	213094
2378	1	201989717.5	202011828	22110.5
2379	1	202011828	202012406.5	578.5
2380	1	202012406.5	202013021	614.5
2381	1	202013021	202085670	72649
2382	1	202085670	202085985	315
2383	1	202085985	202086213	228
2384	1	202086213	202086535.5	322.5
2385	1	202086535.5	202111630	25094.5
2386	1	202111630	202148943	37313
2387	1	202148943	202314583	165640
2388	1	202314583	202565491.5	250908.5
2389	1	202565491.5	202582818	17326.5
2390	1	202582818	202682685.5	99867.5
2391	1	202682685.5	202753648.5	70963
2392	1	202753648.5	202753767.5	119
2393	1	202753767.5	202754659.5	892
2394	1	202754659.5	202754792.5	133
2395	1	202754792.5	202754816	23.5
2396	1	202754816	202754843.5	27.5
2397	1	202754843.5	202754861.5	18
2398	1	202754861.5	202795648.5	40787
2399	1	202795648.5	202797627.5	1979
2400	1	202797627.5	202797966.5	339
2401	1	202797966.5	202805681	7714.5
2402	1	202805681	202805941	260
2403	1	202805941	202806045.5	104.5
2404	1	202806045.5	202808099.5	2054
2405	1	202808099.5	202809479.5	1380
2406	1	202809479.5	202809605.5	126
2407	1	202809605.5	202886763	77157.5
2408	1	202886763	202902899	16136
2409	1	202902899	202902926	27
2410	1	202902926	202903015	89
2411	1	202903015	202932087.5	29072.5
2412	1	202932087.5	203202866	270778.5
2413	1	203202866	203203026.5	160.5
2414	1	203203026.5	203203047	20.5
2415	1	203203047	203303708.5	100661.5
2416	1	203303708.5	203355461	51752.5
2417	1	203355461	203356245	784
2418	1	203356245	203583268.5	227023.5
2419	1	203583268.5	203584822	1553.5
2420	1	203584822	203601202	16380
2421	1	203601202	203601215	13
2422	1	203601215	203608327.5	7112.5
2423	1	203608327.5	203623933	15605.5
2424	1	203623933	203872269	248336
2425	1	203872269	203877098	4829
2426	1	203877098	203879968.5	2870.5
2427	1	203879968.5	203881229.5	1261
2428	1	203881229.5	204110870.5	229641
2429	1	204110870.5	204111020	149.5
2430	1	204111020	204111066	46
2431	1	204111066	204111101	35
2432	1	204111101	204296983.5	185882.5
2433	1	204296983.5	204297195	211.5
2434	1	204297195	204623517	326322
2435	1	204623517	204726765.5	103248.5
2436	1	204726765.5	204846863	120097.5
2437	1	204846863	204846926	63
2438	1	204846926	205232095	385169
2439	1	205232095	205232155	60
2440	1	205232155	205232473.5	318.5
2441	1	205232473.5	205280674.5	48201
2442	1	205280674.5	205280969.5	295
2443	1	205280969.5	205282724.5	1755
2444	1	205282724.5	205282796	71.5
2445	1	205282796	205282804	8
2446	1	205282804	205287587.5	4783.5
2447	1	205287587.5	205450839.5	163252
2448	1	205450839.5	205450863.5	24
2449	1	205450863.5	205450870	6.5
2450	1	205450870	205576197.5	125327.5
2451	1	205576197.5	205721091.5	144894
2452	1	205721091.5	205721274	182.5
2453	1	205721274	205721304.5	30.5
2454	1	205721304.5	205752635	31330.5
2455	1	205752635	205753252	617
2456	1	205753252	205781242	27990
2457	1	205781242	205781485.5	243.5
2458	1	205781485.5	205857510	76024.5
2459	1	205857510	205935215.5	77705.5
2460	1	205935215.5	205935775.5	560
2461	1	205935775.5	205939948.5	4173
2462	1	205939948.5	205945069	5120.5
2463	1	205945069	205945224	155
2464	1	205945224	205954807	9583
2465	1	205954807	205997711.5	42904.5
2466	1	205997711.5	206045067.5	47356
2467	1	206045067.5	206060465.5	15398
2468	1	206060465.5	206115801.5	55336
2469	1	206115801.5	206132222.5	16421
2470	1	206132222.5	206304585.5	172363
2471	1	206304585.5	206306478.5	1893
2472	1	206306478.5	206307899.5	1421
2473	1	206307899.5	206311221	3321.5
2474	1	206311221	206311275.5	54.5
2475	1	206311275.5	206556284	245008.5
2476	1	206556284	206770273	213989
2477	1	206770273	206786185.5	15912.5
2478	1	206786185.5	206933959	147773.5
2479	1	206933959	207174549	240590
2480	1	207174549	207206971.5	32422.5
2481	1	207206971.5	207218805	11833.5
2482	1	207218805	207223082.5	4277.5
2483	1	207223082.5	207248225.5	25143
2484	1	207248225.5	207248273.5	48
2485	1	207248273.5	207398273	149999.5
2486	1	207398273	207527458.5	129185.5
2487	1	207527458.5	207701331.5	173873
2488	1	207701331.5	207948675.5	247344
2489	1	207948675.5	208066637.5	117962
2490	1	208066637.5	208068448	1810.5
2491	1	208068448	208070383	1935
2492	1	208070383	208071971	1588
2493	1	208071971	208149879.5	77908.5
2494	1	208149879.5	208151514	1634.5
2495	1	208151514	208154303.5	2789.5
2496	1	208154303.5	208155211	907.5
2497	1	208155211	208161406	6195
2498	1	208161406	208161419	13
2499	1	208161419	208213697	52278
2500	1	208213697	208608859	395162
2501	1	208608859	208709168	100309
2502	1	208709168	208805581.5	96413.5
2503	1	208805581.5	208806726.5	1145
2504	1	208806726.5	208806969	242.5
2505	1	208806969	208807080.5	111.5
2506	1	208807080.5	208807130	49.5
2507	1	208807130	208807143	13
2508	1	208807143	208807269.5	126.5
2509	1	208807269.5	208813266	5996.5
2510	1	208813266	208819621.5	6355.5
2511	1	208819621.5	208828106	8484.5
2512	1	208828106	208846009.5	17903.5
2513	1	208846009.5	208973966.5	127957
2514	1	208973966.5	209119292.5	145326
2515	1	209119292.5	209137079	17786.5
2516	1	209137079	209137097	18
2517	1	209137097	209137158.5	61.5
2518	1	209137158.5	209267403.5	130245
2519	1	209267403.5	209402229	134825.5
2520	1	209402229	209500561.5	98332.5
2521	1	209500561.5	209548126	47564.5
2522	1	209548126	209551089.5	2963.5
2523	1	209551089.5	209551456	366.5
2524	1	209551456	209551638	182
2525	1	209551638	209551953	315
2526	1	209551953	209565497.5	13544.5
2527	1	209565497.5	209565513	15.5
2528	1	209565513	209571871	6358
2529	1	209571871	209572716.5	845.5
2530	1	209572716.5	209578729.5	6013
2531	1	209578729.5	209603317.5	24588
2532	1	209603317.5	210346756	743438.5
2533	1	210346756	210348433	1677
2534	1	210348433	210351736.5	3303.5
2535	1	210351736.5	210353430	1693.5
2536	1	210353430	210353531.5	101.5
2537	1	210353531.5	210389260.5	35729
2538	1	210389260.5	210416808.5	27548
2539	1	210416808.5	210548459.5	131651
2540	1	210548459.5	210681549.5	133090
2541	1	210681549.5	210681671	121.5
2542	1	210681671	210681722	51
2543	1	210681722	210698049.5	16327.5
2544	1	210698049.5	210809689.5	111640
2545	1	210809689.5	210847483.5	37794
2546	1	210847483.5	210887423.5	39940
2547	1	210887423.5	210904708	17284.5
2548	1	210904708	210932068	27360
2549	1	210932068	210932149	81
2550	1	210932149	210932415.5	266.5
2551	1	210932415.5	210985713.5	53298
2552	1	210985713.5	211148521.5	162808
2553	1	211148521.5	211214526	66004.5
2554	1	211214526	211242345	27819
2555	1	211242345	211242540	195
2556	1	211242540	211242610	70
2557	1	211242610	211279037.5	36427.5
2558	1	211279037.5	211314252.5	35215
2559	1	211314252.5	211316734.5	2482
2560	1	211316734.5	211317094	359.5
2561	1	211317094	211448378.5	131284.5
2562	1	211448378.5	211448522.5	144
2563	1	211448522.5	211451454.5	2932
2564	1	211451454.5	211521925.5	70471
2565	1	211521925.5	211573374.5	51449
2566	1	211573374.5	211576233.5	2859
2567	1	211576233.5	211577064	830.5
2568	1	211577064	211942241.5	365177.5
2569	1	211942241.5	211942317	75.5
2570	1	211942317	212394574	452257
2571	1	212394574	212530607	136033
2572	1	212530607	212533516	2909
2573	1	212533516	212533747	231
2574	1	212533747	212534120.5	373.5
2575	1	212534120.5	212539556	5435.5
2576	1	212539556	212539662.5	106.5
2577	1	212539662.5	212676327	136664.5
2578	1	212676327	212888887.5	212560.5
2579	1	212888887.5	213026555.5	137668
2580	1	213026555.5	213027299	743.5
2581	1	213027299	213028192.5	893.5
2582	1	213028192.5	213032382	4189.5
2583	1	213032382	213033184.5	802.5
2584	1	213033184.5	213117620.5	84436
2585	1	213117620.5	213254626.5	137006
2586	1	213254626.5	213319851.5	65225
2587	1	213319851.5	213480634.5	160783
2588	1	213480634.5	213485977	5342.5
2589	1	213485977	213494812.5	8835.5
2590	1	213494812.5	213504472.5	9660
2591	1	213504472.5	213504498.5	26
2592	1	213504498.5	213504668	169.5
2593	1	213504668	213509854.5	5186.5
2594	1	213509854.5	213509890	35.5
2595	1	213509890	213510521.5	631.5
2596	1	213510521.5	213601759	91237.5
2597	1	213601759	213707313.5	105554.5
2598	1	213707313.5	213715135	7821.5
2599	1	213715135	213715268.5	133.5
2600	1	213715268.5	213715305.5	37
2601	1	213715305.5	213719676	4370.5
2602	1	213719676	213719690.5	14.5
2603	1	213719690.5	213722026	2335.5
2604	1	213722026	213729699.5	7673.5
2605	1	213729699.5	213749498	19798.5
2606	1	213749498	213764474.5	14976.5
2607	1	213764474.5	213770223.5	5749
2608	1	213770223.5	213783064.5	12841
2609	1	213783064.5	213863204.5	80140
2610	1	213863204.5	214335761	472556.5
2611	1	214335761	214350359	14598
2612	1	214350359	214350421.5	62.5
2613	1	214350421.5	214350649	227.5
2614	1	214350649	214350899	250
2615	1	214350899	214410925.5	60026.5
2616	1	214410925.5	214412260.5	1335
2617	1	214412260.5	214412884.5	624
2618	1	214412884.5	214469149.5	56265
2619	1	214469149.5	214472507.5	3358
2620	1	214472507.5	214473243.5	736
2621	1	214473243.5	214490959	17715.5
2622	1	214490959	214578164.5	87205.5
2623	1	214578164.5	214578216.5	52
2624	1	214578216.5	214579335.5	1119
2625	1	214579335.5	214679995	100659.5
2626	1	214679995	214721860.5	41865.5
2627	1	214721860.5	214769308.5	47448
2628	1	214769308.5	214829566	60257.5
2629	1	214829566	214829971	405
2630	1	214829971	214875302	45331
2631	1	214875302	214875332	30
2632	1	214875332	214875538.5	206.5
2633	1	214875538.5	214878703.5	3165
2634	1	214878703.5	214882079	3375.5
2635	1	214882079	214885959.5	3880.5
2636	1	214885959.5	214922851	36891.5
2637	1	214922851	214950643	27792
2638	1	214950643	214952321.5	1678.5
2639	1	214952321.5	215097865.5	145544
2640	1	215097865.5	215247978.5	150113
2641	1	215247978.5	215248122.5	144
2642	1	215248122.5	215248269	146.5
2643	1	215248269	215248381	112
2644	1	215248381	215248410	29
2645	1	215248410	215257025.5	8615.5
2646	1	215257025.5	215260883.5	3858
2647	1	215260883.5	215386097.5	125214
2648	1	215386097.5	215386171	73.5
2649	1	215386171	215386349	178
2650	1	215386349	215386428	79
2651	1	215386428	215386494	66
2652	1	215386494	215455771.5	69277.5
2653	1	215455771.5	215654423	198651.5
2654	1	215654423	215655542	1119
2655	1	215655542	215666933	11391
2656	1	215666933	215770459.5	103526.5
2657	1	215770459.5	215770477	17.5
2658	1	215770477	215770502.5	25.5
2659	1	215770502.5	215777132.5	6630
2660	1	215777132.5	215782763	5630.5
2661	1	215782763	215786023.5	3260.5
2662	1	215786023.5	215787573.5	1550
2663	1	215787573.5	215793338.5	5765
2664	1	215793338.5	215796468	3129.5
2665	1	215796468	215811011	14543
